game,cluster,classifier,preference,score,baseline,metric
solid,0,False,True,0.13177876566832403,7.083978880845562e-34,ccc
solid,1,False,True,0.13193062134227299,3.516731898347996e-33,ccc
solid,2,False,True,0.10492390941974576,-2.3332504489479807e-34,ccc
solid,3,False,True,0.08964977601889744,2.5832243615578903e-33,ccc
solid,4,False,True,0.031025910595789685,-9.443842659068353e-33,ccc
fps,0,False,True,0.13731433446530547,1.455054700227565e-34,ccc
fps,1,False,True,0.10713017636653681,6.211322873744677e-33,ccc
fps,2,False,True,0.11738962134373761,-6.691883713656913e-33,ccc
fps,3,False,True,0.2944975016784878,2.9168453039733447e-33,ccc
fps,4,False,True,0.32903363061898333,-8.02284074819391e-33,ccc
platform,0,False,True,0.1262363656744872,3.0412857577504087e-34,ccc
platform,1,False,True,0.004917543223736808,-6.928255157539601e-34,ccc
platform,2,False,True,0.07761578588851317,4.776675731436222e-34,ccc
platform,3,False,True,0.09790835432982185,-1.0835036938997777e-33,ccc
platform,4,False,True,0.0054318228091276306,-7.157797905879483e-33,ccc
solid,0,False,False,0.24699462202623423,-7.833073783245139e-32,ccc
solid,1,False,False,0.379266521187104,-5.93062625178719e-33,ccc
solid,2,False,False,0.7671239739550739,5.683767007158551e-32,ccc
solid,3,False,False,0.049489846792408296,2.4169605517765122e-32,ccc
solid,4,False,False,0.11536321041289876,-5.6933034028567265e-33,ccc
fps,0,False,False,0.3699240428805576,-3.567163502852186e-32,ccc
fps,1,False,False,0.24036566742050383,1.4039576115107468e-31,ccc
fps,2,False,False,0.4736895685267468,6.112298043507613e-33,ccc
fps,3,False,False,0.5996385876666169,7.914079818624248e-32,ccc
fps,4,False,False,0.3255620233014902,-3.073642986136373e-33,ccc
platform,0,False,False,0.15345727367440415,-7.208736361726455e-32,ccc
platform,1,False,False,0.06267049675509904,-7.922823115360213e-32,ccc
platform,2,False,False,0.10901446208521903,1.1448917295550579e-31,ccc
platform,3,False,False,0.3126768144604598,-1.5623181873949515e-32,ccc
platform,4,False,False,0.14306705176964113,-5.847065224869905e-32,ccc
